	Kingdom	Phylum	Class	Order	Family	Genus	Species	S1	S28	S6
id28251	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Ornithobacterium	Ornithobacterium_rhinotracheale	0	0	3364
id1014	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Weeksella	Weeksella_virosa	0	0	3447
id2762318	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae		Weeksellaceae_sp	1	0	10
id200644	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales			Flavobacteriales_sp	16	0	43
id3025666	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter_KACC_22063	0	0	1
id371142	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_daejeonense	5	0	0
id28453	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_sp	0	0	1
id84566	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae		Sphingobacteriaceae_sp	0	0	3
id976	Bacteria	Bacteroidota					Bacteroidota_sp	164	77	125
id349221	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Micavibrio	Micavibrio_aeruginosavorus	0	0	1
id28198	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_cryaerophilus	0	0	1
id1813595	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_2014D-0216	0	0	1
id449520	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_canadensis	0	0	1
id2572074	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_CFSAN093224	0	0	1
id2572069	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_CFSAN093227	0	0	5
id2572059	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_CFSAN093241	0	0	1
id2572050	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_CFSAN093246	0	0	3
id2572082	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_CFSAN093256	0	0	1
id195	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_coli	0	0	99
id374106	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_cuniculorum	0	0	8
id1813019	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_hepaticus	0	0	11
id198	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_hyointestinalis	0	0	1
id260714	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_insulaenigrae	1	0	2
id197	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_jejuni	0	0	4994
id201	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_lari	0	0	6
id2267891	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_novaezeelandiae	0	0	2
id1848766	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_ornithocola	0	0	1
id488546	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_peloridis	0	0	2
id1032242	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_RM10537	0	0	1
id194	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_sp	0	0	11056
id28080	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_upsaliensis	0	0	1
id827	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_ureolyticus	0	0	1
id1655500	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_vulpis	0	0	1
id213849	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales			Campylobacterales_sp	0	0	1
id456827	Bacteria	Candidatus_Cloacimonetes				Candidatus_Cloacimonas	Cloacimonas_acidaminovorans	0	1	0
id2841264	Bacteria	Candidatus_Saccharibacteria				Candidatus_Minimicrobia	Minimicrobia_vallesae	0	0	1
id289435	Bacteria	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Sphaerospermopsis	Sphaerospermopsis_kisseleviana	0	2	0
id1203	Bacteria	Cyanobacteriota	Cyanophyceae	Nostocales	Scytonemataceae	Scytonema	Scytonema_sp	1	0	0
id3028117	Bacteria	Cyanobacteriota	Cyanophyceae				Cyanophyceae_sp	0	2	2
id52022	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Allomeiothermus	Allomeiothermus_silvanus	0	1	0
id849	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium_gonidiaformans	0	4	0
id851	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium_nucleatum	0	1	0
id712357	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia_oral_taxon_212	0	1	0
id1129771	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae		Leptotrichiaceae_sp	0	1	0
id2782163	Bacteria	Mycoplasmatota	Candidatus_Izimaplasma	Candidatus_Izemoplasmatales	Candidatus_Izemoplasmataceae	Xianfuyuplasma	Xianfuyuplasma_coldseepsis	0	1	0
id33926	Bacteria	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus_Phytoplasma	Phytoplasma_sp	0	1	3
id2095	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma_capricolum	0	3	1
id2102	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma_mycoides	0	1	1
id2683967	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma_NEAQ87857	0	1	1
id358	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	Agrobacterium_tumefaciens	2	0	0
id356	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales			Hyphomicrobiales_sp	0	1	0
