#iTPM	TAXname	TAXid
132	Streptococcus oralis	1303
5	Micromonosporaceae	28056
4	Streptococcus pneumoniae G54	512566
12	Jeotgalibaca ciconiae	2496265
16	Streptococcus pneumoniae SPNA45	869309
6	Veillonella	29465
0	Nocardioides baekrokdamisoli	1804624
27695	Streptococcus dysgalactiae	1334
7	Acinetobacter schindleri	108981
72	Staphylococcus aureus subsp. aureus JKD6159	869816
43	Streptococcus anginosus C238	862971
89	unclassified Acinetobacter	196816
33	Micrococcaceae	1268
21	Staphylococcus haemolyticus	1283
0	Staphylococcus lloydii	2781774
10	Homo sapiens	9606
5	Staphylococcus epidermidis PM221	1449752
51	Streptococcus pluranimalium	82348
5	Acinetobacter sp. 10FS3-1	2563897
2781	Acinetobacter	469
51	Staphylococcus aureus subsp. aureus N315	158879
190	Phocaeicola vulgatus	821
8	Acinetobacter baylyi	202950
12473	root	1
4	Murdochiella vaginalis	1852373
6	Magnetospirillum gryphiswaldense MSR-1 v2	1430440
11	Staphylococcus gallinarum	1293
2	Streptococcus acidominimus	1326
18	Streptococcus parauberis	1348
10	Streptococcus pneumoniae AP200	574093
11	Streptococcus dysgalactiae group	119603
0	Haloterrigena salifodinae	2675099
1009	Streptococcus agalactiae	1311
629	Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957	663952
7	Pediococcus acidilactici	1254
0	Streptococcus mutans	1309
6012	Streptococcus dysgalactiae subsp. dysgalactiae	99822
12	Parvimonas micra	33033
157	Streptococcus equi subsp. zooepidemicus	40041
0	Staphylococcus argenteus	985002
7	Nocardioides	1839
4	Xanthomonas oryzae	347
20	Streptococcus uberis	1349
3	Streptococcus agalactiae NEM316	211110
10	Neisseria meningitidis	487
9	Nocardioides dongkuii	2760089
0	Lacticaseibacillus paracasei	1597
3	Cupriavidus taiwanensis LMG 19424	977880
7	Streptococcus sp. NSJ-72	2763068
30	Staphylococcus lutrae	155085
2237	Bacilli	91061
179	Staphylococcus pasteuri	45972
17	unclassified Micrococcus	2620948
26	Staphylococcus ratti	2892440
64	Staphylococcus sp. NRL 22/194	3020908
2	Staphylococcus saccharolyticus	33028
19	Granulicatella elegans	137732
3	Streptococcus sp. NPS 308	1902136
45	Streptococcus pseudoporcinus	361101
35	Gammaproteobacteria	1236
4	Filifactor alocis ATCC 35896	546269
10	Staphylococcus hominis subsp. hominis	145391
11	Staphylococcus simulans	1286
7	Staphylococcus sp. MI 10-1553	1912064
254	Propionibacterium freudenreichii subsp. shermanii	1752
14	Staphylococcus hyicus	1284
4	Streptococcus suis D12	1004952
7	Prevotella dentalis DSM 3688	908937
4	Mammaliicoccus sciuri	1296
25	Micrococcus yunnanensis	566027
7	Leifsonia shinshuensis	150026
27	Staphylococcus xylosus	1288
41165	Staphylococcus warneri	1292
52	Streptococcus agalactiae 09mas018883	1309806
218	Micrococcales	85006
17	Streptococcus equi subsp. equi	148942
959	Streptococcus canis	1329
10	Pseudarthrobacter sp. NS4	2973976
4	Candidatus Thiodictyon syntrophicum	1166950
0	Pseudarthrobacter sp. BIM B-2242	2772401
1250	Actinomycetes	1760
0	Microbacterium	33882
17	Clostridioides difficile	1496
0	Rathayibacter sp. VKM Ac-2759	2609252
17717	Streptococcus	1301
212	Staphylococcus coagulans	74706
15	Actinoplanes sp. L3-i22	2836373
0	Streptomyces sp. WAC 01529	2203205
11	Streptococcus sobrinus	1310
2	Streptococcus halotolerans	1814128
6	Staphylococcus sp. SB1-57	2813777
19	Micrococcus sp. KD337-16	2856555
259	Staphylococcus epidermidis ATCC 12228	176280
25	Streptococcaceae	1300
9	Staphylococcus edaphicus	1955013
6	Nocardioides sp. cx-173	2898796
84	Streptococcus oralis subsp. oralis	1891914
0	Rhodococcus sp. 21391	2683591
5	Streptococcus porcinus	1340
3	Streptomyces tsukubensis	83656
12452	Micrococcus	1269
5	Blastococcus sp. PRF04-17	2933797
88	Streptococcus thermophilus	1308
2	Rhodococcus	1827
5	Streptococcus pneumoniae Hungary19A-6	487214
0	unclassified Streptococcus	2608887
12	Clostridioides difficile QCD-23m63	499174
6	Enterococcus casseliflavus	37734
0	Mycobacterium heckeshornense	110505
0	Gracilibacillus salitolerans	2663022
4	Actinomycetota	201174
544	Bacillota	1239
250780	Staphylococcus	1279
47346	Staphylococcus epidermidis	1282
37118	Streptococcus suis	1307
22071	Streptococcus pyogenes	1314
48459	Propionibacterium freudenreichii	1744
107984	Pimelobacter simplex	2045
75584	Phocaeicola dorei	357276
11290	Phocaeicola	909656
56171	Acinetobacter sp. TTH0-4	1646498
