	SRR12823316	SRR12823317	SRR12823328	SRR12823343	SRR12823344	SRR12823345	SRR12823346	SRR12823347	SRR12823348	SRR12823349	SRR12823350	SRR12823351	SRR12823352	SRR12823353	SRR12823354	SRR12823362	SRR12823373	SRR12823383	SRR12823385	SRR12823386	SRR12823387	SRR12823388	SRR12823389	SRR12823390	SRR12823391	SRR12823392	SRR12823393	SRR12823394	SRR12823395	SRR12823396	SRR12823397	SRR12823398	SRR12823399	SRR12823400	SRR12823402	SRR12823403	SRR12823404	SRR12823405	SRR12823407	SRR12823408	SRR12823410	SRR12823411	SRR12823412	SRR12823430	SRR12823431	SRR12823433	SRR12823434	SRR12823435	SRR12823436	SRR12823437	SRR12823438	SRR12823439	SRR12823440	SRR12823441	SRR12823315	SRR12823318	SRR12823319	SRR12823320	SRR12823321	SRR12823322	SRR12823323	SRR12823324	SRR12823325	SRR12823326	SRR12823327	SRR12823329	SRR12823330	SRR12823331	SRR12823332	SRR12823333	SRR12823334	SRR12823335	SRR12823336	SRR12823337	SRR12823338	SRR12823340	SRR12823341	SRR12823342	SRR12823355	SRR12823356	SRR12823357	SRR12823358	SRR12823359	SRR12823360	SRR12823361	SRR12823363	SRR12823364	SRR12823365	SRR12823366	SRR12823367	SRR12823368	SRR12823369	SRR12823370	SRR12823371	SRR12823372	SRR12823374	SRR12823375	SRR12823376	SRR12823377	SRR12823378	SRR12823379	SRR12823380	SRR12823381	SRR12823382	SRR12823401	SRR12823409	SRR12823413	SRR12823414	SRR12823415	SRR12823416	SRR12823417	SRR12823418	SRR12823419	SRR12823420	SRR12823423	SRR12823424	SRR12823425	SRR12823426	SRR12823427	SRR12823428	SRR12823429	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq22	797	84	0	22	4	0	0	7	0	2	1	0	0	6	0	8	2	0	0	0	5	8	0	58	1	0	140	0	0	0	11	14	0	0	946	0	11	13	2	0	6	25	4	0	0	0	2	2	0	20	0	0	0	106	0	0	0	0	0	5	1	0	27	0	0	14	0	867	20	3	0	2578	12	0	0	14	10	1162	5	14	4	0	0	0	0	0	0	0	0	0	2069	606	0	2	263	4	0	0	6	17	29	7	0	10	0	18	0	18	14	16	2357	2	37	21	50	9	0	18	5	1	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Finegoldia	magna
seq23	0	1672	0	0	0	0	0	0	0	0	0	0	0	6490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2918	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2169	0	0	0	3	1	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
seq24	0	0	27	0	0	13	83	4	25	358	81	0	0	0	5	260	28	25	11	96	0	241	26	0	18	72	0	0	1246	0	0	81	0	0	0	38	82	101	55	0	182	65	237	13	126	82	210	395	37	40	9	0	1	3	208	15	154	27	38	26	41	36	6	287	66	98	92	74	391	0	2	0	1	124	44	138	85	0	751	19	58	224	103	29	111	0	0	0	0	570	0	0	116	15	23	801	12	11	132	515	63	44	2	144	0	60	106	449	4	9	0	8	144	32	114	72	16	33	14	26	8	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	massiliensis
seq25	0	0	0	0	0	2	142	212	14	648	0	1	0	1	5	42	0	14	5	704	0	5	461	6	40	2	0	8	5	0	0	10	0	0	0	43	136	158	149	0	113	106	619	7	371	195	35	7	0	82	1	0	1	0	206	47	51	0	0	25	0	39	23	0	158	6	1344	147	403	8	4	0	0	316	21	365	0	0	11	3	61	243	223	53	261	0	0	0	0	0	0	0	2	187	4	82	55	9	37	146	9	61	6	73	3	274	0	30	6	66	0	0	0	25	0	12	0	19	1210	6	2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	flava/lactamica/macacae/meningitidis/mucosa/perflava/sicca
seq26	0	0	0	4	0	3514	164	27	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5697	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	1	0	0	0	644	0	0	0	0	0	0	0	0	0	1	2	0	0	62	1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	delbrueckii/equicursoris
seq27	0	0	0	0	0	0	21	21	0	277	0	0	1	0	0	53	3	0	37	97	0	182	0	14	0	42	0	0	0	12	0	14	0	0	1	6	29	29	8	30	4	0	99	0	63	62	99	2	0	3	0	0	0	0	32	29	42	45	164	56	764	30	0	37	40	12	28	25	58	0	11	0	2	82	0	149	885	4	26	3	186	1073	1291	65	104	0	0	0	0	35	0	0	13	9	12	201	98	24	31	364	7	52	0	7	0	29	0	448	1	47	2	0	55	24	71	120	21	25	51	39	16	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	melaninogenica
seq28	0	0	0	6	0	0	38	75	0	361	198	6	0	0	5	44	0	0	11	7	0	13	17	0	14	3	0	0	4	0	0	0	0	0	0	17	0	56	11	0	7	3	0	0	80	138	147	0	9	17	0	0	0	0	140	60	108	25	75	501	231	437	33	303	49	3	604	296	0	0	32	0	7	622	0	41	0	0	20	12	39	179	145	25	140	0	0	0	0	1151	0	8	238	98	0	40	16	3	153	57	9	13	1	66	0	21	0	7	3	33	0	0	110	40	79	89	53	42	205	49	29	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	pasteri
seq29	1138	200	0	0	0	0	0	0	0	0	0	0	23	71	1	0	0	0	0	0	0	0	0	0	0	0	5515	10	0	0	0	6	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	11	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	
seq30	0	0	0	0	0	0	6	49	3	160	51	0	0	0	0	27	0	0	1	0	0	22	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	21	22	40	16	6	0	0	13	41	93	0	0	8	0	0	0	0	188	27	114	15	135	499	1236	364	45	69	31	3	739	504	0	0	77	0	13	1130	0	45	5	0	26	0	147	574	212	38	163	0	0	0	0	1	0	0	0	39	0	26	0	0	41	53	24	35	0	22	0	0	0	3	0	19	0	2	70	0	101	91	125	16	57	140	26	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	periodonticum
seq31	0	0	0	0	0	0	27	6	12	261	0	0	0	0	3	0	0	0	23	0	25	0	91	0	5	343	0	0	3	0	0	0	0	0	1	0	0	45	55	0	2	0	0	9	13	253	127	21	0	1	0	0	0	0	160	25	30	0	0	963	0	759	113	0	18	4	0	0	1	0	1	0	0	0	16	96	0	0	71	24	0	0	0	27	3	0	0	0	0	4	2	0	15	375	0	83	131	0	19	51	2	243	0	0	0	23	0	9	353	509	0	0	448	2	186	0	103	0	0	90	15	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	
seq32	0	0	0	0	0	0	137	10	2	47	0	12	1	2	6	45	0	0	12	33	0	130	112	0	23	73	0	0	1	0	0	22	0	0	0	9	16	47	53	0	7	0	14	0	236	19	2	30	0	11	0	0	0	0	390	116	231	0	0	339	0	283	18	172	7	0	16	3	37	0	5	0	0	24	0	5	0	0	238	34	0	0	0	23	261	0	0	0	0	33	0	0	5	14	30	1050	230	1	130	827	15	145	0	10	0	7	33	0	2	2	0	0	79	0	202	34	85	0	0	119	8	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	cinerea/meningitidis/subflava
seq33	0	0	0	0	0	4	19	8	1	188	16	18	0	0	11	0	0	0	86	39	1	13	15	0	6	21	0	0	33	0	0	12	0	0	0	28	28	10	34	0	36	13	69	0	55	132	197	57	37	46	0	0	0	1	32	0	149	20	192	83	139	31	3	69	32	47	138	145	169	0	1	0	0	122	12	413	6	0	64	13	119	315	133	45	28	0	0	0	0	271	3	1	107	100	5	335	0	0	29	255	4	47	0	84	0	31	13	13	0	0	0	0	731	0	289	50	67	0	0	69	3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
seq34	0	0	0	13	48	0	0	0	0	0	4	6408	0	0	13	0	0	1	0	5	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	1321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae		
