SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	Description	RawReads	Reads	Shannon	Chao1	ACE
SRR12823362	SRR12823362_1.fastq.gz	SRR12823362_2.fastq.gz	Mexico	SRR12823362	13530	13530	4.23046262471925	325.111111111111	321.53324176619
SRR12823373	SRR12823373_1.fastq.gz	SRR12823373_2.fastq.gz	Mexico	SRR12823373	13530	13530	2.69150105163196	165.434782608696	166.404228255106
SRR12823383	SRR12823383_1.fastq.gz	SRR12823383_2.fastq.gz	Mexico	SRR12823383	13530	13530	2.18540031589481	329.333333333333	312.487220635571
SRR12823385	SRR12823385_1.fastq.gz	SRR12823385_2.fastq.gz	Mexico	SRR12823385	13530	13530	2.93920627475085	347.046153846154	360.13256966693
SRR12823386	SRR12823386_1.fastq.gz	SRR12823386_2.fastq.gz	Mexico	SRR12823386	13530	13530	3.25116839197189	644.964285714286	658.601960942047
SRR12823387	SRR12823387_1.fastq.gz	SRR12823387_2.fastq.gz	Mexico	SRR12823387	13530	13530	1.04466108613219	71	76.87318640955
SRR12823388	SRR12823388_1.fastq.gz	SRR12823388_2.fastq.gz	Mexico	SRR12823388	13530	13530	3.72584252101591	595.805555555556	627.233502331888
SRR12823389	SRR12823389_1.fastq.gz	SRR12823389_2.fastq.gz	Mexico	SRR12823389	13530	13530	5.75593441622879	850.149253731343	842.561987952279
SRR12823390	SRR12823390_1.fastq.gz	SRR12823390_2.fastq.gz	Mexico	SRR12823390	13530	13530	3.21741228591227	315.657894736842	316.404075656449
SRR12823391	SRR12823391_1.fastq.gz	SRR12823391_2.fastq.gz	Mexico	SRR12823391	13530	13530	6.21420314640202	1391.52	1381.70915549598
SRR12823392	SRR12823392_1.fastq.gz	SRR12823392_2.fastq.gz	Mexico	SRR12823392	13530	13530	2.47328328405845	259.333333333333	268.760759508574
SRR12823393	SRR12823393_1.fastq.gz	SRR12823393_2.fastq.gz	Mexico	SRR12823393	13530	13530	1.57475693231317	62.2727272727273	65.311
SRR12823394	SRR12823394_1.fastq.gz	SRR12823394_2.fastq.gz	Mexico	SRR12823394	13530	13530	2.82948332877865	431.225806451613	434.152047528172
SRR12823395	SRR12823395_1.fastq.gz	SRR12823395_2.fastq.gz	Mexico	SRR12823395	13530	13530	2.02523036700101	229.142857142857	237.315867008953
SRR12823396	SRR12823396_1.fastq.gz	SRR12823396_2.fastq.gz	Mexico	SRR12823396	13530	13530	0.933088724048038	79.875	79.095168174264
SRR12823397	SRR12823397_1.fastq.gz	SRR12823397_2.fastq.gz	Mexico	SRR12823397	13530	13530	0.898295556109042	64	56.6950908782062
SRR12823398	SRR12823398_1.fastq.gz	SRR12823398_2.fastq.gz	Mexico	SRR12823398	13530	13530	3.67407735025731	620.389830508475	635.751388266585
SRR12823399	SRR12823399_1.fastq.gz	SRR12823399_2.fastq.gz	Mexico	SRR12823399	13530	13530	1.15150783558066	121.75	125.588485753696
SRR12823400	SRR12823400_1.fastq.gz	SRR12823400_2.fastq.gz	Mexico	SRR12823400	13530	13530	1.07677322923063	69.5454545454545	74.8964749536178
SRR12823402	SRR12823402_1.fastq.gz	SRR12823402_2.fastq.gz	Mexico	SRR12823402	13530	13530	2.05728390370829	90.375	90.4818121693122
SRR12823403	SRR12823403_1.fastq.gz	SRR12823403_2.fastq.gz	Mexico	SRR12823403	13530	13530	5.96740219876788	1299.40939597315	1282.59102580011
SRR12823404	SRR12823404_1.fastq.gz	SRR12823404_2.fastq.gz	Mexico	SRR12823404	13530	13530	2.6213887774968	186.5	185.108746633735
SRR12823405	SRR12823405_1.fastq.gz	SRR12823405_2.fastq.gz	Mexico	SRR12823405	13530	13530	3.98759416889249	894.481707317073	925.032485946725
SRR12823407	SRR12823407_1.fastq.gz	SRR12823407_2.fastq.gz	Mexico	SRR12823407	13530	13530	6.04709075001302	1075.59803921569	1065.99154620756
SRR12823408	SRR12823408_1.fastq.gz	SRR12823408_2.fastq.gz	Mexico	SRR12823408	13530	13530	3.94584614202798	209.666666666667	209.16327285958
SRR12823410	SRR12823410_1.fastq.gz	SRR12823410_2.fastq.gz	Mexico	SRR12823410	13530	13530	2.94595135712785	381	390.112971703356
SRR12823411	SRR12823411_1.fastq.gz	SRR12823411_2.fastq.gz	Mexico	SRR12823411	13530	13530	3.4577339817324	405.04347826087	416.413465924245
SRR12823412	SRR12823412_1.fastq.gz	SRR12823412_2.fastq.gz	Mexico	SRR12823412	13530	13530	3.18844656036859	173.65	175.465109035631
SRR12823430	SRR12823430_1.fastq.gz	SRR12823430_2.fastq.gz	Mexico	SRR12823430	13530	13530	2.73202911061067	366.542857142857	384.939902001909
SRR12823431	SRR12823431_1.fastq.gz	SRR12823431_2.fastq.gz	Mexico	SRR12823431	13530	13530	4.11998874024828	356.454545454545	355.791245327011
