	Tier1	Tier2	Tier3	Tier4
PWY108	Metabolism	Lipid metabolism	Biosynthesis of unsaturated fatty acids	Biosynthesis of unsaturated fatty acids
PWY109	Metabolism	Lipid metabolism	Fatty acid biosynthesis	Fatty acid biosynthesis
PWY110	Metabolism	Lipid metabolism	Fatty acid degradation	Fatty acid degradation
PWY111	Metabolism	Lipid metabolism	Glycerolipid metabolism	Glycerolipid metabolism
PWY112	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism
PWY113	Metabolism	Lipid metabolism	Secondary bile acid biosynthesis	Secondary bile acid biosynthesis
PWY114	Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism	Biotin metabolism
PWY115	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis
PWY116	Metabolism	Metabolism of cofactors and vitamins	Porphyrin metabolism	Porphyrin metabolism
PWY117	Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism	Retinol metabolism
PWY118	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism	Riboflavin metabolism
PWY119	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	Thiamine metabolism
PWY120	Metabolism	Metabolism of other amino acids	D-Amino acid metabolism	D-Amino acid metabolism
PWY121	Metabolism	Metabolism of other amino acids	Phosphonate and phosphinate metabolism	Phosphonate and phosphinate metabolism
PWY122	Metabolism	Metabolism of other amino acids	Selenocompound metabolism	Selenocompound metabolism
PWY123	Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism
PWY124	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of enediyne antibiotics	Biosynthesis of enediyne antibiotics
PWY125	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	Biosynthesis of siderophore group nonribosomal peptides
PWY126	Metabolism	Metabolism of terpenoids and polyketides	Geraniol degradation	Geraniol degradation
PWY127	Metabolism	Metabolism of terpenoids and polyketides	Limonene and pinene degradation	Limonene and pinene degradation
PWY128	Metabolism	Metabolism of terpenoids and polyketides	Nonribosomal peptide structures	Nonribosomal peptide structures
PWY129	Metabolism	Metabolism of terpenoids and polyketides	Type I polyketide structures	Type I polyketide structures
PWY130	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	Pyrimidine metabolism
PWY131	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation	Benzoate degradation
PWY132	Metabolism	Xenobiotics biodegradation and metabolism	Bisphenol degradation	Bisphenol degradation
PWY133	Metabolism	Xenobiotics biodegradation and metabolism	Caprolactam degradation	Caprolactam degradation
PWY134	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes	Drug metabolism - other enzymes
PWY135	Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation	Fluorobenzoate degradation
PWY136	Metabolism	Xenobiotics biodegradation and metabolism	Nitrotoluene degradation	Nitrotoluene degradation
PWY137	Metabolism	Xenobiotics biodegradation and metabolism	Steroid degradation	Steroid degradation
PWY138	Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation	Styrene degradation
PWY139	Metabolism	Xenobiotics biodegradation and metabolism	Xylene degradation	Xylene degradation
PWY140	Organismal Systems	Aging	Longevity regulating pathway - multiple species	Longevity regulating pathway - multiple species
PWY141	Organismal Systems	Digestive system	Cholesterol metabolism	Cholesterol metabolism
PWY142	Organismal Systems	Digestive system	Mineral absorption	Mineral absorption
PWY143	Organismal Systems	Digestive system	Protein digestion and absorption	Protein digestion and absorption
PWY144	Organismal Systems	Endocrine system	Insulin signaling pathway	Insulin signaling pathway
PWY145	Organismal Systems	Endocrine system	Renin-angiotensin system	Renin-angiotensin system
PWY146	Organismal Systems	Environmental adaptation	Plant-pathogen interaction	Plant-pathogen interaction
PWY147	Organismal Systems	Immune system	Antigen processing and presentation	Antigen processing and presentation
PWY148	Organismal Systems	Immune system	NOD-like receptor signaling pathway	NOD-like receptor signaling pathway
