	S1	S28	S6	allTiers
PWY87	26.9747474747475	34.6495726495726	22.8603683897802	Metabolism; Biosynthesis of other secondary metabolites; Penicillin and cephalosporin biosynthesis; Penicillin and cephalosporin biosynthesis
PWY88	26.4104910714286	28.7211988304094	20.5798470535313	Metabolism; Biosynthesis of other secondary metabolites; Phenazine biosynthesis; Phenazine biosynthesis
PWY89	28.5666666666667	37.3875	22.3560606060606	Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis; Phenylpropanoid biosynthesis
PWY90	0	0	49.1847984041429	Metabolism; Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis; Prodigiosin biosynthesis
PWY91	22.970939343727	24.5208402311313	27.5623195751412	Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis; Streptomycin biosynthesis
PWY92	22.5019296607532	0	0	Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis; Tropane, piperidine and pyridine alkaloid biosynthesis
PWY93	19.605160608342	32.7353959160142	28.236613552584	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism; Amino sugar and nucleotide sugar metabolism
PWY94	22.3823691492751	25.7407565877972	25.0033489812643	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism; Ascorbate and aldarate metabolism
PWY95	27.3992370670166	28.0958503220039	21.0369642608592	Metabolism; Carbohydrate metabolism; Butanoate metabolism; Butanoate metabolism
PWY96	30.3725245225907	0	22.4734784063131	Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism; C5-Branched dibasic acid metabolism
PWY97	26.8119119805984	28.8166966528784	23.5430674579825	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle); Citrate cycle (TCA cycle)
PWY98	17.2279898555865	30.5360645702909	22.6809224179638	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism; Fructose and mannose metabolism
PWY99	13.8669331468627	44.5327424241498	29.3948285390254	Metabolism; Carbohydrate metabolism; Galactose metabolism; Galactose metabolism
PWY100	21.327013546321	31.7493715670867	24.195103901738	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis; Glycolysis / Gluconeogenesis
PWY101	28.5151144680587	34.2868103237571	22.6124400396054	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism; Glyoxylate and dicarboxylate metabolism
PWY102	19.7950184584389	61.0078925159808	19.522799259564	Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism; Inositol phosphate metabolism
PWY103	19.2695422775042	30.7083356559407	30.7717369083074	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions; Pentose and glucuronate interconversions
PWY104	19.8825544899716	31.0483622706704	25.7780135283642	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway; Pentose phosphate pathway
PWY105	26.3649134372616	27.6376300556223	20.6956977108048	Metabolism; Carbohydrate metabolism; Propanoate metabolism; Propanoate metabolism
PWY106	25.177409493034	31.2103679290005	24.4838579671322	Metabolism; Carbohydrate metabolism; Pyruvate metabolism; Pyruvate metabolism
PWY107	18.1045546539262	25.4396168416434	21.7426583576463	Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism; Starch and sucrose metabolism
PWY108	22.3850341749787	0	0	Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms; Carbon fixation in photosynthetic organisms
PWY109	25.9355681900629	0	23.4137454313038	Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes; Carbon fixation pathways in prokaryotes
PWY110	22.8872221139267	34.8075045077977	21.2180241146854	Metabolism; Energy metabolism; Methane metabolism; Methane metabolism
PWY111	30.5297173684596	31.287802970214	17.3954424648057	Metabolism; Energy metabolism; Nitrogen metabolism; Nitrogen metabolism
PWY112	30.1984251371941	28.3109718196825	23.4276018378475	Metabolism; Energy metabolism; Oxidative phosphorylation; Oxidative phosphorylation
PWY113	31.0512641367695	33.3628305199878	0	Metabolism; Energy metabolism; Photosynthesis; Photosynthesis
PWY114	25.7970587531625	31.4598366801905	24.5753128693918	Metabolism; Energy metabolism; Sulfur metabolism; Sulfur metabolism
PWY115	24.6264781777817	0	24.4986179866701	Metabolism; Global and overview maps; Metabolic pathways; Metabolic pathways
PWY116	0	21.9441027926322	13.6706989247312	Metabolism; Glycan biosynthesis and metabolism; Arabinogalactan biosynthesis - Mycobacterium; Arabinogalactan biosynthesis - Mycobacterium
PWY117	14.2234576820548	44.3221936109867	23.0207419820323	Metabolism; Glycan biosynthesis and metabolism; Exopolysaccharide biosynthesis; Exopolysaccharide biosynthesis
