	S1	S28	S6
PWY94	22.7853737049817	29.637946864405	25.5692371890527
PWY95	24.0201677388636	32.0844606397687	24.527390270144
PWY96	24.7322357791618	0	0
PWY97	24.5097967202868	30.1113739272894	24.4626899889267
PWY98	27.1415923845211	28.7468849929095	22.1402110201826
PWY99	22.7980609838841	31.9112599454569	28.3697386725759
PWY100	0	0	13.8177083333333
PWY101	14.9133382333776	44.5867153679654	22.6349116161616
PWY102	0	20.5706439393939	9.90714285714286
PWY103	27.1839164014221	22.6864870509607	23.7379063878705
PWY104	0	27.5909090909091	0
PWY105	14.9956001620524	27.6546417905997	20.8331266832668
PWY106	17.8693084088304	37.5710514694553	24.3353982301215
PWY107	20.1626494136417	47.3534130951411	24.0168889785738
PWY108	46.3333333333333	20.0329365079365	10.5096153846154
PWY109	0	29.4748768863039	26.8712983788981
PWY110	27.0378900967304	27.0309876232848	17.9449637582031
PWY111	14.9742854231261	0	0
PWY112	19.3508328032826	36.1967920069421	29.5493139632196
PWY113	22.855303030303	34.8666666666667	17.1133333333333
PWY114	29.7306118307559	34.8070986791846	31.6080673001877
PWY115	21.3880185376544	32.8553800275989	31.0331462510302
PWY116	20.8534202027663	28.4867939093844	18.2267905950271
PWY117	0	0	32.1185383244207
PWY118	25.5021294341491	30.8484229909366	26.5344059778074
PWY119	17.2744692346661	30.2173949789602	27.5086465786523
PWY120	26.0154188558778	0	0
PWY121	27.0891077898551	36.1094696969697	20.3026806526807
PWY122	23.3522064398695	23.3088144566888	23.8180951826083
PWY123	24.4238923801424	0	22.7100288125391
PWY124	0	27.4583333333333	0
PWY125	12.3928571428571	23.3302521008403	10.446047008547
PWY126	40.9004094883405	0	0
PWY127	0	21.1206838359381	0
PWY128	14.6742788461538	0	0
PWY129	23.5	22	0
PWY130	20.1134581588276	31.3605579598902	32.9980511341778
PWY131	33.8532132272205	0	0
PWY132	43.4761904761905	18	0
PWY133	27.2383452439373	0	0
PWY134	24.5561950642084	0	22.3911716619548
PWY135	44.2652182539682	21.1288888888889	0
PWY136	21.3429298771404	0	0
PWY137	0	21.2140987105562	0
PWY138	37.6183222158694	0	0
PWY139	36.4894257703081	0	0
PWY140	33.0555089647195	35.786196253725	21.1298346180772
PWY141	0	0	8.25
PWY142	32.548433048433	49.763078470825	41.1666666666667
PWY143	16.0028571428571	20.1055555555556	12.3604166666667
PWY144	25.9983333333333	18.721408393866	19.5547619047619
PWY145	13.4375	23.6446115288221	16.25
PWY146	20.6855618171309	25.7447950247152	28.3309654631083
PWY147	0	29.25	0
PWY148	20.5121028646951	32.1888888888889	0
