feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
seq330	country	USA	1.84604415271513	0.966184490737559	43	11	0.0560490744519702	0.13850588590535
seq404	country	USA	-1.43281437675478	0.748475329190792	43	15	0.0555804603132832	0.13850588590535
seq273	country	USA	-1.82147236654657	0.964165277715857	43	12	0.0588690186195669	0.144088931287892
seq198	country	USA	1.73618961807324	0.921228904395004	43	14	0.0594777576640963	0.144205506789365
seq276	country	USA	1.41449789168093	0.765983184448076	43	16	0.0647988209326907	0.155638289529921
seq39	country	USA	-1.02983197962218	0.562622547740252	43	33	0.06718811118728	0.159882820140102
seq10	country	USA	0.555723624297786	0.304945873082496	43	42	0.0683991549840779	0.160027287914997
seq926	country	USA	-1.51982575374441	0.83801652867528	43	11	0.0697395184687924	0.160027287914997
seq48	country	USA	1.67931520522207	0.922853643035121	43	21	0.0688049623848071	0.160027287914997
seq297	country	USA	-1.46918202092566	0.809483403311125	43	15	0.069529672647553	0.160027287914997
seq433	country	USA	1.464937488439	0.813609983167597	43	13	0.071775380651215	0.161809410766336
seq336	country	USA	-1.49184790833897	0.828118482517138	43	16	0.0716255407162354	0.161809410766336
seq116	country	USA	1.40515710474785	0.783248487041941	43	16	0.0728112698085501	0.162717359485195
seq119	country	USA	1.49622652230054	0.84815659111407	43	17	0.0777164385256643	0.169600992972986
seq3	country	USA	0.625081690272586	0.355845583737912	43	42	0.0789844130375766	0.169600992972986
seq165	country	USA	-1.62343473636343	0.92165764384051	43	13	0.0781657772282346	0.169600992972986
seq941	country	USA	1.42938650417468	0.814280231911159	43	11	0.0791911251235732	0.169600992972986
seq162	country	USA	-1.48275133004072	0.841191689699713	43	18	0.0779545635776848	0.169600992972986
seq12	country	USA	1.8058640754096	1.04778442098842	43	12	0.0847968301694487	0.180105664078912
seq106	country	USA	-1.0167511376548	0.596070561007673	43	27	0.0880534553637276	0.185489655971131
seq731	country	USA	1.68070093245559	0.990045068948213	43	9	0.0895832020642005	0.187177910004061
seq180	country	USA	1.18177009634175	0.712304512759115	43	21	0.0970996939490688	0.201246946329925
seq249	country	USA	1.30340670131412	0.799559755969005	43	14	0.103068644849988	0.211909133811575
seq14	country	USA	1.50104249308112	0.935879510646543	43	21	0.108739548851543	0.221794159165448
seq60	country	USA	-1.13525346329831	0.710180344551675	43	26	0.109922294859866	0.222441179362091
seq363	country	USA	-1.44660769888712	0.92432218388635	43	11	0.117571879734106	0.234232349547793
seq502	country	USA	-1.52462192600791	0.972464988785711	43	10	0.116929899465608	0.234232349547793
seq37	country	USA	1.60197027395343	1.0299585029649	43	19	0.119857115658926	0.235224969912328
seq92	country	USA	-0.845027711852665	0.543359555794922	43	19	0.119900665597335	0.235224969912328
seq231	country	USA	-1.21874412164625	0.791383230458006	43	17	0.123556057726415	0.240559900270368
seq51	country	USA	0.911598193116618	0.594505062573957	43	32	0.125183902061074	0.241896713005233
seq251	country	USA	-1.48890384340583	0.983380980429664	43	10	0.130009065879248	0.249345745753483
seq17	country	USA	-0.854354506364641	0.573941415102183	43	33	0.136599472971345	0.260044922619524
seq546	country	USA	-1.51285708442832	1.0296046471911	43	9	0.141735907875269	0.267839178852531
seq314	country	USA	-1.28823314794368	0.879160101194211	43	11	0.142839132544938	0.267953701197438
seq142	country	USA	-1.60466463368144	1.12994044402177	43	11	0.155569242578339	0.289719531468357
seq422	country	USA	-1.02189966387906	0.726940077101109	43	15	0.159796882300379	0.29545178957696
seq178	country	USA	1.41480953142791	1.05779555452922	43	13	0.181057022288219	0.330011735660087
seq122	country	USA	-0.967451127065551	0.721985174006695	43	22	0.180249400413496	0.330011735660087
seq579	country	USA	1.24133427267175	0.940587487716053	43	9	0.186920653583799	0.336959619619146
seq1	country	USA	-0.570537402041106	0.432868923387937	43	43	0.187491150216101	0.336959619619146
seq239	country	USA	1.1882244473578	0.92179208084919	43	11	0.197385092186212	0.352277560360115
seq174	country	USA	-0.939463383512057	0.73885856471606	43	17	0.203548556979953	0.360772269957572
seq78	country	USA	1.20332324275714	0.971592957029652	43	15	0.215528675708742	0.371750803068099
seq82	country	USA	-1.26952453625905	1.02384527022438	43	16	0.214991145083789	0.371750803068099
seq155	country	USA	0.92288054155321	0.741401974768251	43	21	0.213213526697446	0.371750803068099
seq38	country	USA	0.634846330893904	0.510385154052202	43	35	0.213552064611514	0.371750803068099
seq163	country	USA	0.874205313307127	0.712089816960041	43	18	0.219574032824585	0.37620350957279
seq101	country	USA	1.12980125736053	0.950215862688682	43	16	0.234441904615059	0.399017016464042
seq334	country	USA	-0.990981624475745	0.85478483612586	43	13	0.246319828996652	0.41375291537346
seq70	country	USA	0.446978441958594	0.384689768793114	43	39	0.245268272997723	0.41375291537346
seq361	country	USA	1.02267838782692	0.901630957411708	43	12	0.256688080078364	0.428369068702204
seq979	country	USA	-0.962810747509047	0.85985099876567	43	10	0.262823984169109	0.435779122138457
seq417	country	USA	0.666429792221233	0.598497250667377	43	18	0.265491522424625	0.437380264507234
seq58	country	USA	-0.593277648626947	0.538659386400846	43	32	0.270724058808186	0.443159765055439
seq40	country	USA	-1.20313485446079	1.1183987472743	43	15	0.282032118614847	0.458748446101365
seq241	country	USA	-1.06635142644989	0.997909731222133	43	12	0.285256685084805	0.461075270860345
seq209	country	USA	-0.996712299184729	0.938036900362927	43	14	0.28798549599441	0.462576702941021
seq487	country	USA	0.894463328829628	0.845246461047053	43	12	0.289951586056524	0.462841972773458
seq80	country	USA	-0.861557013803875	0.824811519400266	43	16	0.296230919635097	0.469946582384074
seq31	country	USA	0.817269972673295	0.794970095722678	43	24	0.303925737137818	0.479195794137541
seq133	country	USA	-0.565820266391856	0.560427149998369	43	26	0.312675838261751	0.489985917276037
seq22	country	USA	0.639354405595972	0.63921818720874	43	22	0.317207390177887	0.494074541064951
seq255	country	USA	1.0709607573376	1.08341451213787	43	11	0.322905343991514	0.499919719312163
seq50	country	USA	1.0505725159018	1.08104176828703	43	16	0.331142633651137	0.509602735618815
seq8	country	USA	0.554305100998185	0.584072891255634	43	36	0.342603260092691	0.521000223927939
seq367	country	USA	0.874017007120713	0.918832423942578	43	14	0.341489819569935	0.521000223927939
seq126	country	USA	-0.469517602504698	0.501189962797979	43	31	0.348858524493574	0.52739200467558
seq179	country	USA	0.646627164925052	0.698179518901902	43	19	0.354361927324273	0.532579036972738
seq665	country	USA	-0.784118958765672	0.873570739553178	43	10	0.369397701708955	0.551948891506984
seq134	country	USA	0.737764876923579	0.842513485926117	43	18	0.381208753600973	0.563049710778448
seq423	country	USA	-0.980829253011726	1.11814269802359	43	9	0.38038069788627	0.563049710778448
seq42	country	USA	0.687684425885634	0.792963030919168	43	25	0.385813862685046	0.566595215486039
seq187	country	USA	-0.6437470743161	0.745879859385887	43	19	0.388098580121651	0.566712131200366
seq194	country	USA	0.658323204688245	0.770122258662078	43	18	0.392645559107373	0.566909599385364
seq409	country	USA	-0.949387727176908	1.10599826124976	43	10	0.3906722166658	0.566909599385364
seq236	country	USA	-0.599905253819679	0.731221324770639	43	17	0.41197932513859	0.591501042238088
seq77	country	USA	-0.615104473553075	0.764025203335884	43	24	0.420771203036638	0.600767773224534
seq149	country	USA	0.611672149891476	0.785445115852533	43	20	0.436121921070215	0.619244937652183
seq205	country	USA	0.836800697001691	1.09030335733248	43	12	0.442788179669959	0.625255836127359
seq139	country	USA	0.942992359950296	1.26890016890786	43	11	0.457386482127776	0.642340578725893
seq41	country	USA	0.562692713439901	0.761975577020436	43	26	0.460231594253951	0.642823476756877
seq9	country	USA	0.30660094855239	0.428445240269336	43	42	0.474230394913375	0.65879573779858
seq161	country	USA	0.524822291040849	0.738331721356773	43	20	0.47719466319363	0.659349615272919
seq245	country	USA	-0.645356516723597	0.914846623201926	43	13	0.480545221017067	0.660428458830943
seq543	country	USA	-0.707918497880259	1.0175710953242	43	9	0.486620242373354	0.661279955652623
seq473	country	USA	0.64662716492505	0.937854253208464	43	11	0.490524330823909	0.661279955652623
seq271	country	USA	0.597030223785684	0.86778511331449	43	13	0.491457087664012	0.661279955652623
seq81	country	USA	0.49580427519047	0.715201515430616	43	23	0.488160724738265	0.661279955652623
seq1182	country	USA	-0.572613111531666	0.865946824037087	43	10	0.508447725340909	0.67441200503509
seq250	country	USA	-0.606135803570315	0.91803075261058	43	14	0.50908921780859	0.67441200503509
seq43	country	USA	-0.393390959477005	0.590226968888187	43	27	0.50508649212185	0.67441200503509
seq444	country	USA	-0.634306680537012	0.981300291776608	43	9	0.518024185730188	0.68030259620386
seq6	country	USA	0.328870626106934	0.509758404699096	43	38	0.518829995548469	0.68030259620386
seq387	country	USA	0.699549566379395	1.15084593328477	43	10	0.543282430423583	0.708749160501831
seq324	country	USA	-0.532027831416594	0.898532514211364	43	11	0.55377861187141	0.718793450762386
seq192	country	USA	-0.504353109260374	0.872477722098705	43	16	0.563216928048954	0.72737060557076
seq197	country	USA	0.66122596434621	1.15640983485127	43	11	0.567462855513862	0.729189769335312
seq175	country	USA	0.571591978982137	1.01012370850959	43	13	0.571486682060155	0.730706852186367
seq775	country	USA	-0.451985123743057	0.836135733244338	43	10	0.588807933113587	0.74912692480293
seq159	country	USA	0.449563326393894	0.873602561459592	43	17	0.606826606063362	0.768248461863469
seq801	country	USA	-0.435984782396616	0.871995365922063	43	11	0.617085494613354	0.777406726057019
