#SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	Description
SRR12823356	SRR12823356_1.fastq.gz	SRR12823356_2.fastq.gz	USA	SRR12823356
SRR12823357	SRR12823357_1.fastq.gz	SRR12823357_2.fastq.gz	USA	SRR12823357
SRR12823358	SRR12823358_1.fastq.gz	SRR12823358_2.fastq.gz	USA	SRR12823358
SRR12823359	SRR12823359_1.fastq.gz	SRR12823359_2.fastq.gz	USA	SRR12823359
SRR12823360	SRR12823360_1.fastq.gz	SRR12823360_2.fastq.gz	USA	SRR12823360
SRR12823361	SRR12823361_1.fastq.gz	SRR12823361_2.fastq.gz	USA	SRR12823361
SRR12823362	SRR12823362_1.fastq.gz	SRR12823362_2.fastq.gz	Mexico	SRR12823362
SRR12823363	SRR12823363_1.fastq.gz	SRR12823363_2.fastq.gz	USA	SRR12823363
SRR12823364	SRR12823364_1.fastq.gz	SRR12823364_2.fastq.gz	USA	SRR12823364
SRR12823365	SRR12823365_1.fastq.gz	SRR12823365_2.fastq.gz	USA	SRR12823365
SRR12823366	SRR12823366_1.fastq.gz	SRR12823366_2.fastq.gz	USA	SRR12823366
SRR12823367	SRR12823367_1.fastq.gz	SRR12823367_2.fastq.gz	USA	SRR12823367
SRR12823368	SRR12823368_1.fastq.gz	SRR12823368_2.fastq.gz	USA	SRR12823368
SRR12823369	SRR12823369_1.fastq.gz	SRR12823369_2.fastq.gz	USA	SRR12823369
SRR12823370	SRR12823370_1.fastq.gz	SRR12823370_2.fastq.gz	USA	SRR12823370
SRR12823371	SRR12823371_1.fastq.gz	SRR12823371_2.fastq.gz	USA	SRR12823371
SRR12823372	SRR12823372_1.fastq.gz	SRR12823372_2.fastq.gz	USA	SRR12823372
SRR12823373	SRR12823373_1.fastq.gz	SRR12823373_2.fastq.gz	Mexico	SRR12823373
SRR12823374	SRR12823374_1.fastq.gz	SRR12823374_2.fastq.gz	USA	SRR12823374
SRR12823375	SRR12823375_1.fastq.gz	SRR12823375_2.fastq.gz	USA	SRR12823375
SRR12823376	SRR12823376_1.fastq.gz	SRR12823376_2.fastq.gz	USA	SRR12823376
SRR12823377	SRR12823377_1.fastq.gz	SRR12823377_2.fastq.gz	USA	SRR12823377
