	SRR12823315	SRR12823316	SRR12823317	SRR12823318	SRR12823319	SRR12823320	SRR12823321	SRR12823322	SRR12823323	SRR12823324	SRR12823325	SRR12823326	SRR12823327	SRR12823328	SRR12823329	SRR12823330	SRR12823331	SRR12823332	SRR12823333	SRR12823334	SRR12823335	SRR12823336	SRR12823337	SRR12823338	SRR12823339	SRR12823340	SRR12823341	SRR12823342	SRR12823343	SRR12823344	SRR12823345	SRR12823346	SRR12823347	SRR12823348	SRR12823349	SRR12823350	SRR12823351	SRR12823352	SRR12823353	SRR12823354	SRR12823355	SRR12823356	SRR12823357	SRR12823358	SRR12823359	SRR12823360	SRR12823361	SRR12823362	SRR12823363	SRR12823364	SRR12823365	SRR12823366	SRR12823367	SRR12823368	SRR12823369	SRR12823370	SRR12823371	SRR12823372	SRR12823373	SRR12823374	SRR12823375	SRR12823376	SRR12823377	SRR12823378	SRR12823379	SRR12823380	SRR12823381	SRR12823382	SRR12823383	SRR12823384	SRR12823385	SRR12823386	SRR12823387	SRR12823388	SRR12823389	SRR12823390	SRR12823391	SRR12823392	SRR12823393	SRR12823394	SRR12823395	SRR12823396	SRR12823397	SRR12823398	SRR12823399	SRR12823400	SRR12823401	SRR12823402	SRR12823403	SRR12823404	SRR12823405	SRR12823406	SRR12823407	SRR12823408	SRR12823409	SRR12823410	SRR12823411	SRR12823412	SRR12823413	SRR12823414	SRR12823415	SRR12823416	SRR12823417	SRR12823418	SRR12823419	SRR12823420	SRR12823421	SRR12823423	SRR12823424	SRR12823425	SRR12823426	SRR12823427	SRR12823428	SRR12823429	SRR12823430	SRR12823431	SRR12823432	SRR12823433	SRR12823434	SRR12823435	SRR12823436	SRR12823437	SRR12823438	SRR12823439	SRR12823440	SRR12823441	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq21	334	131	30	198	108	96	596	401	683	810	164	1676	586	364	20	452	125	49	2	30	0	20	306	72	0	938	0	0	12	0	59	198	125	46	817	347	6	0	0	25	251	33	647	1986	3739	511	1270	24	0	0	0	0	3	5	0	47	1908	25	540	354	1020	314	1930	1144	802	466	53	539	16	0	232	844	78	24	51	188	4	631	5	0	0	1	0	18	0	0	0	37	80	77	89	0	99	320	114	11	85	14	4	4	36	137	0	0	139	297	0	211	92	333	336	45	157	87	93	136	2	122	274	114	103	102	36	2	0	3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	australis/mitis/oralis/parasanguinis/pneumoniae/rubneri/sanguinis
seq22	0	1896	207	0	0	0	0	10	2	0	72	0	0	0	39	0	1435	57	10	8	5221	42	1	0	0	55	44	3463	39	6	0	0	22	0	8	2	0	0	29	0	16	55	7	0	0	0	0	22	0	0	0	0	0	5556	1643	0	4	944	5	10	0	0	12	54	97	22	0	34	0	0	1	2	13	17	0	127	3	0	461	0	0	0	24	31	1	0	0	2799	0	20	40	0	5	0	46	19	82	6	5	33	28	66	6190	3	122	71	2	130	10	0	63	10	7	0	0	0	0	0	9	3	0	62	0	3	6	326	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Finegoldia	magna
seq23	0	0	3610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	0	6061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16373	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5865	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
seq24	670	0	0	57	280	72	112	94	145	84	19	776	155	27	252	223	123	1306	1	7	0	6	310	130	0	377	265	0	0	0	29	195	9	74	1088	183	0	0	0	14	1560	76	180	695	389	63	329	614	0	0	0	0	1423	0	0	667	56	68	57	2467	35	26	261	1666	242	142	8	485	58	296	34	313	0	566	57	0	41	233	0	0	3137	0	0	201	0	0	0	0	104	195	357	0	141	0	217	531	220	535	268	908	8	31	0	20	376	114	0	260	75	27	111	50	67	29	29	294	0	215	688	888	87	89	25	0	2	4	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	massiliensis
seq25	681	0	0	103	110	0	0	76	0	112	54	0	405	0	25	3487	248	1266	24	11	0	0	791	63	0	1081	0	0	0	0	6	376	528	30	1816	0	6	0	1	13	24	11	214	714	709	126	720	87	0	0	0	0	0	0	0	3	538	17	0	275	161	21	72	421	34	197	20	291	34	8	19	2370	0	12	1086	8	88	6	0	32	6	0	0	28	0	0	14	0	103	300	556	0	505	0	855	344	289	1414	0	68	16	201	0	0	0	62	0	0	12	2	57	3649	12	7	14	870	0	526	152	13	0	170	1	0	4	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	flava/lactamica/macacae/meningitidis/mucosa/perflava/sicca
seq26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	7	0	7738	449	74	0	0	5	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	2	0	5	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1885	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	197	5	14104	33	0	0	0	0	0	5	3	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	delbrueckii/equicursoris
seq27	104	0	0	71	76	121	481	163	2240	90	0	126	111	0	29	60	46	182	0	44	0	5	188	0	0	390	3001	17	0	0	0	40	48	0	795	0	0	4	0	0	51	11	698	3275	4204	144	278	120	0	0	0	0	84	0	0	61	30	43	6	640	278	57	75	1311	27	209	0	20	0	15	96	327	0	420	0	33	0	120	0	0	2	43	0	26	0	0	0	6	17	62	121	0	29	89	90	31	0	208	0	923	1	113	3	1	153	67	0	156	121	44	67	147	99	31	1	151	0	204	343	5	0	8	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	melaninogenica
seq28	479	0	0	160	212	87	222	1466	708	1343	144	791	131	0	10	1608	477	0	2	128	0	13	1609	0	0	136	0	0	20	0	0	120	199	0	1082	498	13	0	0	16	48	35	132	590	454	54	386	104	0	0	0	0	2928	0	20	1258	284	0	0	130	60	7	335	190	27	45	1	215	0	16	20	30	0	27	47	0	36	14	0	0	8	0	0	0	0	0	0	0	38	0	188	1	40	0	71	22	10	0	0	18	7	97	0	0	307	120	0	212	92	118	118	607	162	77	0	190	0	379	530	0	27	43	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	pasteri
seq29	0	2686	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	197	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18788	44	0	0	0	23	0	0	0	64	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	18	0	5	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	
seq30	603	0	0	78	231	47	386	1485	3502	988	160	190	93	0	6	1966	830	1	0	288	0	41	2860	0	0	116	22	0	0	0	0	18	124	8	463	129	0	0	0	0	73	2	479	1749	675	85	417	61	0	0	0	0	5	0	0	0	117	0	0	97	0	0	105	177	77	123	0	83	0	11	2	0	0	45	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	72	0	90	108	0	60	17	0	0	9	0	54	0	7	194	0	0	225	96	266	49	153	458	79	0	27	0	137	279	0	0	16	0	0	0	0	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	periodonticum
